Scenario,Time_Step,Total_Population,Age_Class_1,Age_Class_2,Age_Class_3,Age_Class_4
No_Harvest,0,425.0,120.0,110.0,100.0,95.0
No_Harvest,1,360.55000000000007,52.74999999999998,110.40000000000006,103.39999999999996,94.00000000000009
No_Harvest,2,295.77700000000004,46.27500000000002,48.530000000000044,103.77600000000007,97.19599999999994
No_Harvest,3,222.60464000000013,36.86399999999998,42.57300000000005,45.61820000000002,97.54944000000005
No_Harvest,4,146.0811940000001,29.266586000000004,33.91488000000002,40.01862000000003,42.881108000000054
No_Harvest,5,114.8706679200001,18.447918800000007,26.925259120000028,31.879987200000016,37.617502800000054
No_Harvest,6,86.96322172480008,14.714204888000008,16.972085296000028,25.30974357280002,29.967187968000015
No_Harvest,7,64.32527346931207,11.043285835680004,13.53706849696002,15.953760178240017,23.791158958432028
No_Harvest,8,46.18014064321446,8.298938719700805,10.159822968825614,12.724844387142415,14.996534567545627
No_Harvest,9,35.02244287787471,5.875831941140007,7.635023622124749,9.550233590696077,11.961353723913875
No_Harvest,10,26.04197032098979,4.4820631550894,5.405765385848811,7.176922204797264,8.977219575254315
No_Harvest,11,19.274570718043694,3.323346280154133,4.123498102682252,5.0814194626978795,6.746306872509429
No_Harvest,12,14.181048409763083,2.4709473205639525,3.057478577741805,3.8760882165213157,4.776534294936011
No_Harvest,13,10.600629806136372,1.809805484610198,2.2732715349188384,2.8740298630772965,3.6435229235300386
No_Harvest,14,7.859387063493832,1.3559027035360804,1.6650210458413843,2.136875242823707,2.70158807129266
No_Harvest,15,5.825482160804467,1.004269162206085,1.2474304872531952,1.5651197830909007,2.0086627282542855
No_Harvest,16,4.31307776020887,0.7453528768558204,0.9239276292295989,1.1725846580180028,1.4712125961054472
No_Harvest,17,3.2075109840077403,0.5510647872876389,0.6857246467073554,0.8684919714758229,1.1022295785369234
No_Harvest,18,2.378092035059804,0.41014880966298783,0.5069796043046284,0.644581167904914,0.8163824531872739
No_Harvest,19,1.7637813371474946,0.3039773063805754,0.37733690488994914,0.4765608280463506,0.6059062978306193
No_Harvest,20,1.3078632846810292,0.22554029385077778,0.27965912187012965,0.35469669059655207,0.44796717836356964
No_Harvest,21,0.9709591775411845,0.1671676434797878,0.20749707034271578,0.2628795745579219,0.3334148891607591
No_Harvest,22,0.7200897939372966,0.12414151572929216,0.153794232001405,0.1950472461221528,0.2471068000844466
No_Harvest,23,0.5341752149051154,0.09205403099802217,0.11421019447094889,0.14456657808132065,0.1833444113548237
No_Harvest,24,0.39623512649911397,0.06829525178180011,0.0846897085181805,0.10735758280269193,0.13589258339644145
No_Harvest,25,0.29400871272651874,0.050652627245642484,0.06283163163925619,0.07960832600708966,0.10091612783453044
Sustainable_Uniform,0,425.0,120.0,110.0,100.0,95.0
Sustainable_Uniform,1,360.55,52.75,110.4,103.39999999999999,94.0
Sustainable_Uniform,2,295.777,46.275,48.53,103.776,97.19599999999998
Sustainable_Uniform,3,222.60464,36.864,42.573,45.6182,97.54943999999999
Sustainable_Uniform,4,146.08119399999998,29.266585999999997,33.91488,40.01862,42.881108
Sustainable_Uniform,5,114.87066791999999,18.447918799999997,26.92525912,31.879987199999995,37.6175028
