Scenario,Time_Step,Total_Population,Age_Class_1,Age_Class_2,Age_Class_3,Age_Class_4,Age_Class_5,Age_Class_6
No_Harvest,21,13206.769179600928,3619.55736837729,2824.771889414103,2378.140754205023,2035.7052495685996,1451.8644222507212,896.7294957851918
No_Harvest,22,15251.887742940413,4313.6945626884,3329.9927789071085,2655.285576049259,2235.452308952724,1628.564199654882,1088.8983166880416
No_Harvest,23,17559.11520978998,4954.569561554311,3968.5989976733294,3130.193212172685,2495.968441486307,1788.361847162182,1221.4231497411622
No_Harvest,24,20129.099811202886,5559.984998756973,4558.203996629967,3730.483057812932,2942.381619442328,1996.7747531890489,1341.2713853716373
No_Harvest,25,23014.479415164296,6256.441024685893,5115.186198856418,4284.711756832174,3506.65407434416,2353.905295553866,1497.5810648917875
No_Harvest,26,26388.654273064356,7226.072220865315,5755.925742711025,4808.275026925038,4027.629051422247,2805.323259475332,1765.4289716654002
No_Harvest,27,30372.26976000921,8467.838907610902,6647.986443196095,5410.570198148369,4519.778525309541,3222.1032411378033,2103.992444606501
No_Harvest,28,34947.60900667118,9789.753717704345,7790.4117950020345,6249.107256604335,5085.935986259473,3615.8228202476384,2416.5774308533537
No_Harvest,29,40118.329415750915,11133.992182759594,9006.573420288003,7322.987087301919,5874.16082120808,4068.7487890075845,2711.8671151857316
No_Harvest,30,45965.561584404655,12621.611650409122,10243.272808138827,8466.179015070731,6883.607862063809,4699.3286569664715,3051.561591755691
Sustainable_Uniform,0,695.0,120.0,110.0,100.0,95.0,160.0,110.0
Sustainable_Uniform,1,780.0618515143592,341.23078592010523,96.16306002700605,90.06576455427921,81.87796777661747,66.19920798960561,104.52506524674571
Sustainable_Uniform,2,755.4953065198434,229.2645637918023,273.4483045791461,78.73635930192133,73.74401767951689,57.055332827479226,43.2467283399776
Sustainable_Uniform,3,741.3855669172755,180.64021374859928,183.72318341647036,223.89391470902007,64.46773089770889,51.387321730057806,37.273202415419114
Sustainable_Uniform,4,721.0249271739704,164.02501335022112,144.75763098331464,150.4288089159134,183.31978733925885,44.92329185595111,33.57039472931128
Sustainable_Uniform,5,685.4944123956842,155.26788008647782,131.44289337273153,118.52460645071318,123.16805169092103,127.74341821770386,29.347562577136813
Sustainable_Uniform,6,745.4002324257672,247.02654657244193,124.42528727518285,107.62276988037878,97.0455390770776,85.82765759538714,83.45243202529888
Sustainable_Uniform,7,749.0362006296085,237.38881881501632,197.95690521924783,101.87689662113793,88.11933684295971,67.62460869291432,56.06963443833244
Sustainable_Uniform,8,740.553994263813,199.24009763627552,190.23362694540398,162.08309106700491,83.4147325872732,61.40452955340218,44.17791647445323
Sustainable_Uniform,9,728.461554818495,182.0883184287029,159.66281223986422,155.75942777064856,132.7103410751878,58.126202441497185,40.1144528625943
Sustainable_Uniform,10,709.6504071802816,175.02117572606608,145.91808246063292,130.72866595699728,127.5326540790954,92.47704706534589,37.97278189214402
Sustainable_Uniform,11,729.0057146981387,212.95559540654082,140.2547652278572,119.47476053737512,107.0379749870721,88.86905992472064,60.41355861457282
Sustainable_Uniform,12,740.6992939235151,224.73998671963943,170.65384753471668,114.8377514784354,97.82350593398289,74.58767546268831,58.05652679405237
Sustainable_Uniform,13,738.3687335195932,207.62315791651582,180.09737361157693,139.7279022940332,94.02681715090537,68.16672226943318,48.72676027712868
Sustainable_Uniform,14,731.63492046644,193.33470182323154,166.38065164768724,147.46006953222133,114.40636681525204,65.52106131761475,44.5320693304331
Sustainable_Uniform,15,721.311863844531,186.88906088293012,154.93047113942276,136.22909634261953,120.73730821496989,79.72221970671562,42.80370755787318
Sustainable_Uniform,16,726.2559103009635,201.88027631339622,149.76519983396665,126.8539212356982,111.54161560578719,84.13383345924116,52.08106385287404
Sustainable_Uniform,17,734.4877430834829,213.5300310003414,161.7785427449474,122.62470206064197,103.86541275274067,77.72596432614891,54.96309019866262
Sustainable_Uniform,18,735.7617564775416,208.63010897363068,171.11417657211913,132.46098309818933,100.40261403938561,72.37692696573595,50.776946828480895
Sustainable_Uniform,19,732.5520798747175,199.55687696629792,167.18758077226718,140.10481035494402,108.45636105772617,69.96393188940405,47.28251883407812
Sustainable_Uniform,20,726.883101838653,194.0794625136607,159.9166661542664,136.88979351122322,114.71497147591207,75.57605477322292,45.70615341036769
Sustainable_Uniform,21,727.1429775536695,199.28687224529148,155.52729169758518,130.93651638323118,112.08258102059753,79.93726585532188,49.37245035164221
Sustainable_Uniform,22,731.4523306762435,206.87681386616126,159.7002954859854,127.34258577999465,107.20815869208747,78.10292729467746,52.22154955733736
Sustainable_Uniform,23,733.506991265593,206.97007615085076,165.78256225006186,130.75935647717802,104.26552135085548,74.7062652151594,51.023209821487484
Sustainable_Uniform,24,732.4284135912865,202.3086491907839,165.85729880573564,135.73939289835644,107.06310376129618,72.65573614789419,48.80423278722016
Sustainable_Uniform,25,729.4259126104508,198.29300162740117,162.12182313429886,135.80058567132838,111.14065637749246,74.60518604112393,47.46465975880613
Sustainable_Uniform,26,728.5116083526561,199.4901839715422,158.9038484869249,132.742054104766,111.19075977642804,77.44656239615696,48.738199616838
Sustainable_Uniform,27,730.3578186367297,203.62496454818955,159.86322113378245,130.10724185992942,108.68649628592043,77.48147613644247,50.59441867246543
Sustainable_Uniform,28,732.0067802730653,205.0545459975552,163.17666407370442,130.89275668658112,106.52916556511876,75.73642077150679,50.61722717859887
Sustainable_Uniform,29,731.9470705057016,203.1363987455739,164.3222717964448,133.60573642922702,107.1723291417652,74.2331198758361,49.47721451685458
Sustainable_Uniform,30,730.4804689847537,200.58148927005416,162.78514755200385,134.54373675129884,109.39366182123497,74.68129797459143,48.49513561557039
Over_Harvest,0,695.0,120.0,110.0,100.0,95.0,160.0,110.0
Over_Harvest,1,722.3177772715391,315.9711788801579,89.04459004050908,83.39864683141882,75.8169516649262,61.29881198440842,96.78759787011855
Over_Harvest,2,647.7841222333507,196.57824864486287,234.46270073333346,67.51089379124446,63.230311757379305,48.920937529887276,37.081029776643284
Over_Harvest,3,588.6293587428316,143.42082976356411,145.86857967885894,177.76247248727196,51.18470171426747,40.79939991716972,29.5933751816995
Over_Harvest,4,530.0872223512873,120.58884574731582,106.42374157971841,110.59311054943483,134.7740878440527,33.02696217748325,24.68047445328232
Over_Harvest,5,466.6596378175114,105.70071962019792,89.48153610856602,80.68723671350106,83.84832517000339,86.96306811708138,19.978752088161645
Over_Harvest,6,469.8779966740782,155.71814144870729,78.43397704639432,67.84217298046498,61.17460325883968,54.10318652424819,52.60591541542375
Over_Harvest,7,437.217620404108,138.56549841730126,115.54881722641787,59.46625046614408,51.43586749703475,39.472952667204126,32.72823413000594
Over_Harvest,8,400.2679726685419,107.6888796399424,102.82090000272832,87.60559090594714,45.08549837286041,33.18902706269134,23.878076684372353
Over_Harvest,9,364.58602144343246,91.13295702171504,79.90926782883663,77.95567205651062,66.41988851293492,29.09144724190865,20.07678878152657
Over_Harvest,10,328.8797225146821,81.11165036273853,67.62413997648291,60.584770965585484,59.103614203153036,42.85747639978701,17.59807060693515
Over_Harvest,11,312.8404039112384,91.38627193029136,60.18794711715967,51.270561519792075,45.933526519284186,38.13664562776936,25.92545119694176
Over_Harvest,12,294.32903051609134,89.30412510454093,67.8121093280273,45.632666773928285,38.87177684579701,29.638637956699363,23.069714507098475
Over_Harvest,13,271.6837927490161,76.39522699777226,66.26707674050151,51.41307415219737,34.59729691140604,25.082039372319908,17.929078574819062
Over_Harvest,14,249.27809860137677,65.871796870267,56.68818057556884,50.24167754210558,38.97982557942414,22.323928405695085,15.172689628316125
Over_Harvest,15,227.56844237453214,58.96208646186121,48.87939289620512,42.97925046670511,38.091708377746265,25.151757888191096,13.50424628382333
Over_Harvest,16,212.16703410896721,58.976923785394284,43.75212347441235,37.0588656862252,32.58555755228938,24.578699684340876,15.214863926305137
Over_Harvest,17,198.68818502649574,57.762562694374346,43.76313333600652,33.17152630697404,28.09690228489528,21.025852271630598,14.868208132614965
Over_Harvest,18,184.2994181703011,52.259318125921524,42.86203095674805,33.179873648417264,25.149640066676785,18.129544531643063,12.71901084089438
Over_Harvest,19,169.91218460075038,46.28632673221775,38.778412985993555,32.49668529308337,25.1559687665041,16.227821662344898,10.966969160606721
Over_Harvest,20,156.11687696018413,41.68356575232279,34.34622490292821,29.4006106300162,24.637996181360194,16.231905260037742,9.81657423351898
Over_Harvest,21,144.612009307808,39.6335740200873,30.930800198684892,26.04026073337993,22.290646750552533,15.89768311151338,9.819044493589969
Over_Harvest,22,134.70069558294324,38.09742557247969,29.409627920490376,23.45078983621182,19.742931893647416,14.383054359715622,9.616866000398327
Over_Harvest,23,125.07984431393197,35.293167223838275,28.26974701416884,22.297483385312827,17.77967399516414,12.739139685996562,8.70063300945132
Over_Harvest,24,115.65050203402762,31.944551044952096,26.188880055648426,21.433260429529305,16.905272200737574,11.47234624603834,7.706192057121897
Over_Harvest,25,106.65047401782782,28.992721882193848,23.704078765215623,19.855610533376463,16.250044700073985,10.908137917665883,6.939880219302018
Over_Harvest,26,98.63188724601454,27.00862018748107,21.513708617987064,17.971709940039563,15.053918640866028,10.485351945348082,6.598577914292736
Over_Harvest,27,91.56211452947822,25.527668560902637,20.041429267950576,16.311038064232314,13.625602638600533,9.713550825210818,6.342825172581347
Over_Harvest,28,84.97565066930515,23.803937256347805,18.94250651412973,15.19480074104246,12.366531845206726,8.791928992819297,5.875945319759143
Over_Harvest,29,78.67891023912911,21.83566425392018,17.663431952845755,14.361631007943233,11.52023473341801,7.979512741879226,5.318435549122691
Over_Harvest,30,72.70872545489786,19.964975182622307,16.20289809793767,13.391875666056196,10.888550839587374,7.4334389783162305,4.826986690378085
